3.821000000000000000e+03,3.977000000000000000e+03
4.646000000000000000e+03,5.388000000000000000e+03
3.035000000000000000e+03,4.655000000000000000e+03
3.097000000000000000e+03,6.772000000000000000e+03
3.737000000000000000e+03,5.636000000000000000e+03
4.333000000000000000e+03,4.855000000000000000e+03
4.380000000000000000e+03,4.063000000000000000e+03
3.975000000000000000e+03,6.048000000000000000e+03
3.915000000000000000e+03,5.164000000000000000e+03
4.380000000000000000e+03,5.930000000000000000e+03
3.125000000000000000e+03,6.457000000000000000e+03
4.954000000000000000e+03,4.884000000000000000e+03
3.505000000000000000e+03,4.915000000000000000e+03
3.382000000000000000e+03,4.078000000000000000e+03
3.766000000000000000e+03,6.444000000000000000e+03
3.210000000000000000e+03,5.652000000000000000e+03
3.606000000000000000e+03,3.588000000000000000e+03
3.575000000000000000e+03,5.240000000000000000e+03
3.988000000000000000e+03,3.215000000000000000e+03
4.636000000000000000e+03,3.459000000000000000e+03
4.193000000000000000e+03,5.335000000000000000e+03
3.644000000000000000e+03,4.469000000000000000e+03
3.931000000000000000e+03,4.824000000000000000e+03
4.322000000000000000e+03,4.448000000000000000e+03
3.510000000000000000e+03,6.743000000000000000e+03
4.769000000000000000e+03,4.588000000000000000e+03
4.432000000000000000e+03,5.012000000000000000e+03
3.863000000000000000e+03,3.471000000000000000e+03
3.336000000000000000e+03,5.988000000000000000e+03
4.625000000000000000e+03,6.160000000000000000e+03
3.760000000000000000e+03,5.027000000000000000e+03
